X	Freq	Value
-0.437	1617.2	-0.0202
-0.437	1781.2	-0.0026
-0.437	1945.3	-0.0004
-0.437	2109.4	0.0074
-0.437	2273.4	-0.0070
-0.437	2437.5	0.0070
-0.437	2601.6	0.0061
-0.437	2765.6	-0.0077
-0.437	2929.7	-0.0119
-0.437	3093.8	-0.0046
-0.437	3257.8	-0.0038
-0.437	3421.9	0.0000
-0.437	3585.9	-0.0034
-0.437	3750.0	0.0094
-0.437	3914.1	-0.0077
-0.437	4054.7	0.0053
-0.437	4218.8	-0.0062
-0.437	4382.8	0.0035
-0.437	4546.9	-0.0041
-0.437	4710.9	-0.0048
-0.437	4875.0	-0.0033
-0.437	5039.1	-0.0027
-0.437	5203.1	0.0028
-0.437	5367.2	0.0013
-0.437	5531.2	0.0043
-0.437	5695.3	0.0085
-0.437	5859.4	-0.0028
-0.437	6023.4	0.0066
-0.437	6187.5	0.0059
-0.437	6351.6	0.0081
-0.437	6515.6	-0.0088
-0.437	6679.7	0.0009
-0.437	6843.8	-0.0080
-0.437	7007.8	0.0020
-0.437	7171.9	0.0087
-0.437	7335.9	0.0021
-0.437	7500.0	-0.0047
-0.437	7664.1	-0.0006
-0.437	7828.1	-0.0065
-0.437	7992.2	0.0006

-0.397	0.0	0.3108
-0.397	140.6	-0.0006
-0.397	304.7	-0.0069
-0.397	468.8	-0.0134
-0.397	632.8	-0.0074
-0.397	796.9	0.0007
-0.397	960.9	0.0043
-0.397	1125.0	0.0438
-0.397	1289.1	0.0095
-0.397	1453.1	0.0012
-0.397	1617.2	0.0115
-0.397	1781.2	0.0062
-0.397	1945.3	0.0064
-0.397	2109.4	0.0028
-0.397	2273.4	-0.0089
-0.397	2437.5	-0.0042
-0.397	2601.6	0.0060
-0.397	2765.6	0.0032
-0.397	2929.7	-0.0069
-0.397	3093.8	-0.0020
-0.397	3257.8	-0.0049
-0.397	3421.9	0.0059
-0.397	3585.9	-0.0021
-0.397	3750.0	0.0019
-0.397	3914.1	-0.0000
-0.397	4054.7	-0.0059
-0.397	4218.8	0.0078
-0.397	4382.8	-0.0057
-0.397	4546.9	0.0020
-0.397	4710.9	-0.0011
-0.397	4875.0	-0.0013
-0.397	5039.1	0.0074
-0.397	5203.1	-0.0061
-0.397	5367.2	-0.0025
-0.397	5531.2	-0.0009
-0.397	5695.3	-0.0064
-0.397	5859.4	0.0009
-0.397	6023.4	-0.0083
-0.397	6187.5	-0.0072
-0.397	6351.6	-0.0086
-0.397	6515.6	0.0088
-0.397	6679.7	-0.0010
-0.397	6843.8	0.0078
-0.397	7007.8	-0.0013
-0.397	7171.9	-0.0081
-0.397	7335.9	-0.0025
-0.397	7500.0	0.0037
-0.397	7664.1	-0.0006
-0.397	7828.1	0.0053
-0.397	7992.2	0.0037

-0.357	0.0	0.3108
-0.357	140.6	-0.0029
-0.357	304.7	0.0330
-0.357	468.8	-0.0125
-0.357	632.8	-0.0058
